reading_date,reading_time,reading_tz_adj,reading_timezone,reading_day,reading_lag_time
2018-09-06,14:45:26,-0700,PDT,Thu,0
2018-09-06,14:46:26,-0700,PDT,Thu,0
2018-09-06,14:47:26,-0700,PDT,Thu,0
2018-09-06,14:48:26,-0700,PDT,Thu,0
2018-09-06,14:49:26,-0700,PDT,Thu,0
2018-09-06,14:50:26,-0700,PDT,Thu,8
2018-09-06,14:51:26,-0700,PDT,Thu,0
2018-09-06,14:52:26,-0700,PDT,Thu,0
2018-09-06,14:53:26,-0700,PDT,Thu,0
2018-09-06,14:54:26,-0700,PDT,Thu,0
2018-09-06,14:55:26,-0700,PDT,Thu,0
2018-09-06,14:56:26,-0700,PDT,Thu,51
2018-09-06,14:57:26,-0700,PDT,Thu,86
2018-09-06,14:58:26,-0700,PDT,Thu,0
2018-09-06,14:59:26,-0700,PDT,Thu,0
2018-09-06,15:00:26,-0700,PDT,Thu,2
2018-09-06,15:01:26,-0700,PDT,Thu,8
2018-09-06,15:02:26,-0700,PDT,Thu,35
2018-09-06,15:03:26,-0700,PDT,Thu,39
2018-09-06,15:04:26,-0700,PDT,Thu,45
2018-09-06,15:05:26,-0700,PDT,Thu,33
2018-09-06,15:06:27,-0700,PDT,Thu,10
2018-09-06,15:07:27,-0700,PDT,Thu,5
2018-09-06,15:08:27,-0700,PDT,Thu,1
2018-09-06,15:09:27,-0700,PDT,Thu,0
2018-09-06,15:10:27,-0700,PDT,Thu,0
2018-09-06,15:11:27,-0700,PDT,Thu,1
2018-09-06,15:12:27,-0700,PDT,Thu,0
2018-09-06,15:13:27,-0700,PDT,Thu,54
2018-09-06,15:14:27,-0700,PDT,Thu,114
2018-09-06,15:15:27,-0700,PDT,Thu,61
2018-09-06,15:16:27,-0700,PDT,Thu,87
2018-09-06,15:17:27,-0700,PDT,Thu,0
2018-09-06,15:18:27,-0700,PDT,Thu,0
2018-09-06,15:19:27,-0700,PDT,Thu,4
2018-09-06,15:20:27,-0700,PDT,Thu,0
2018-09-06,15:21:27,-0700,PDT,Thu,8
2018-09-06,15:22:27,-0700,PDT,Thu,2
2018-09-06,15:23:27,-0700,PDT,Thu,0
2018-09-06,15:24:27,-0700,PDT,Thu,0
2018-09-06,15:25:27,-0700,PDT,Thu,0
2018-09-06,15:26:27,-0700,PDT,Thu,1
2018-09-06,15:27:27,-0700,PDT,Thu,1
2018-09-06,15:28:27,-0700,PDT,Thu,1
2018-09-06,15:29:27,-0700,PDT,Thu,0
2018-09-06,15:30:27,-0700,PDT,Thu,3
2018-09-06,15:31:27,-0700,PDT,Thu,4
2018-09-06,15:32:27,-0700,PDT,Thu,1
2018-09-06,15:33:27,-0700,PDT,Thu,2
2018-09-06,15:34:27,-0700,PDT,Thu,0
2018-09-06,15:35:27,-0700,PDT,Thu,2
2018-09-06,15:36:27,-0700,PDT,Thu,2
2018-09-06,15:37:27,-0700,PDT,Thu,3
2018-09-06,15:38:27,-0700,PDT,Thu,2
2018-09-06,15:39:27,-0700,PDT,Thu,0
2018-09-06,15:40:27,-0700,PDT,Thu,0
2018-09-06,15:41:27,-0700,PDT,Thu,0
2018-09-06,15:42:27,-0700,PDT,Thu,0
2018-09-06,15:43:27,-0700,PDT,Thu,0
2018-09-06,15:44:27,-0700,PDT,Thu,0
